transaction_ref,account_id,statement_no,opening_balance,date,dr_cr,amount,txn_type,ref,narration
TRXREF123456,1234567890,00001/001,"C240101EUR10000,00",,,,,,
,,,,26/03/2024,C,3963.74,MSVR,EF00000,Transaction number 0
,,,,17/04/2024,D,661.2,MSVR,EF00001,Transaction number 1
,,,,06/03/2024,D,4908.13,CHER,EF00002,Transaction number 2
,,,,21/04/2024,C,4519.12,MSVR,EF00003,Transaction number 3
,,,,10/01/2024,D,3407.68,TRFR,EF00004,Transaction number 4
,,,,24/03/2024,D,1644.26,DIVR,EF00005,Transaction number 5
,,,,06/02/2024,D,1650.01,CHGR,EF00006,Transaction number 6
,,,,28/04/2024,D,2343.87,CHGR,EF00007,Transaction number 7
,,,,16/03/2024,C,4150.2,DIVR,EF00008,Transaction number 8
,,,,25/04/2024,D,1537.18,CHER,EF00009,Transaction number 9
,,,,02/03/2024,C,4212.63,CHER,EF00010,Transaction number 10
,,,,29/04/2024,D,2123.37,TRFR,EF00011,Transaction number 11
,,,,26/01/2024,D,4177.25,CHGR,EF00012,Transaction number 12
,,,,28/01/2024,D,2791.6,TRFR,EF00013,Transaction number 13
,,,,29/01/2024,D,2779.08,CHGR,EF00014,Transaction number 14
,,,,06/01/2024,D,3490.82,CHER,EF00015,Transaction number 15
,,,,24/03/2024,C,3736.22,TRFR,EF00016,Transaction number 16
,,,,03/02/2024,C,3836.79,CHER,EF00017,Transaction number 17
,,,,20/01/2024,D,3120.22,CHER,EF00018,Transaction number 18
,,,,11/01/2024,D,2494.54,CHER,EF00019,Transaction number 19
,,,,17/02/2024,C,311.73,TRFR,EF00020,Transaction number 20
,,,,30/01/2024,C,771.13,CHER,EF00021,Transaction number 21
,,,,10/01/2024,D,4581.51,DIVR,EF00022,Transaction number 22
,,,,15/03/2024,D,4689.36,MSVR,EF00023,Transaction number 23
,,,,27/02/2024,C,4234.51,MSVR,EF00024,Transaction number 24
,,,,11/04/2024,D,4357.77,MSVR,EF00025,Transaction number 25
,,,,13/04/2024,C,4403.42,MSVR,EF00026,Transaction number 26
,,,,31/03/2024,C,3985.87,MSVR,EF00027,Transaction number 27
,,,,04/03/2024,C,4152.25,CHER,EF00028,Transaction number 28
,,,,27/03/2024,C,3181.79,TRFR,EF00029,Transaction number 29
,,,,25/02/2024,D,516.04,CHER,EF00030,Transaction number 30
,,,,04/01/2024,C,2103.07,TRFR,EF00031,Transaction number 31
,,,,01/04/2024,D,3529.28,CHER,EF00032,Transaction number 32
,,,,25/04/2024,D,2972.95,CHER,EF00033,Transaction number 33
,,,,31/03/2024,D,2962.78,TRFR,EF00034,Transaction number 34
,,,,29/03/2024,D,869.21,MSVR,EF00035,Transaction number 35
,,,,26/02/2024,C,3357.37,CHGR,EF00036,Transaction number 36
,,,,25/02/2024,D,3652.5,DIVR,EF00037,Transaction number 37
,,,,21/03/2024,C,3763.19,DIVR,EF00038,Transaction number 38
,,,,12/02/2024,C,2670.92,CHGR,EF00039,Transaction number 39
,,,,02/03/2024,C,1931.05,CHER,EF00040,Transaction number 40
,,,,09/02/2024,C,2696.86,CHGR,EF00041,Transaction number 41
,,,,14/02/2024,C,1681.57,CHER,EF00042,Transaction number 42
,,,,29/02/2024,D,3626.85,MSVR,EF00043,Transaction number 43
,,,,06/02/2024,C,2981.85,CHER,EF00044,Transaction number 44
,,,,08/02/2024,C,4957.38,MSVR,EF00045,Transaction number 45
,,,,24/04/2024,D,2443.63,TRFR,EF00046,Transaction number 46
,,,,23/01/2024,D,2215.16,MSVR,EF00047,Transaction number 47
,,,,20/03/2024,C,4361.17,CHGR,EF00048,Transaction number 48
